Feature,Joint Angle,Correlation,P-value
R-F-TaG_x,R1A_flex,0.33119972125185343,0.0
R-H-TaG_x,L1B_rot,-0.3308747444465353,0.0
R-H-TaG_r,R1B_flex,0.3302205871545904,0.0
R-F-TaG_r,R3B_rot,-0.33017650316120833,0.0
z_vel_lag_plus_10,L2B_flex,-0.3283192089543052,0.0
L-M-TaG_r,R3B_rot,-0.327281771133549,0.0
L-F-TaG_z,R1B_rot,-0.3269023901975134,0.0
x_vel_lag_plus_2,L1B_flex,-0.3257910732112067,0.0
L-F-TaG_r,L1B_rot,-0.3254979659286081,0.0
L-M-TaG_x,L2C_flex,-0.3242496891220761,0.0
R-H-TaG_x,L2C_flex,0.3233411299046355,0.0
z_vel_lag_plus_5,L2B_flex,-0.32317030486291104,0.0
L-M-TaG_r,R3C_flex,0.3210013604629421,0.0
L-F-TaG_r,R1B_flex,0.3196897790109994,0.0
z_vel_lag_plus_3,L2B_flex,-0.31826461960035013,0.0
L-H-TaG_y,R2A_abduct,0.31755199460633404,0.0
x_vel_lag_plus_3,L1B_flex,-0.31746143781586056,0.0
z_vel_ma20,L2B_flex,-0.3166528643142927,0.0
xz_velocity,L1B_flex,-0.31621150367275247,0.0
R-F-TaG_r,R3C_flex,0.3159326487245375,0.0
velocity_magnitude,L1B_flex,-0.3152504163658244,0.0
z_vel_lag_plus_2,L2B_flex,-0.3149435427455969,0.0
L-H-TaG_x,L1B_flex,0.3131118014738842,0.0
xy_position,L1B_rot,0.31274842644041206,0.0
xz_position,L1B_rot,0.31274842644041206,0.0
z_vel_lag_plus_20,L2B_flex,-0.31202172055409116,0.0
R-M-TaG_r,L2A_rot,-0.31148617101569454,0.0
x_vel_lag_plus_5,L1B_flex,-0.3110917536415732,0.0
z_vel_lag_plus_1,L2B_flex,-0.31098693993941934,0.0
L-H-TaG_y,R1A_abduct,0.3109798905505074,0.0
R-F-Vel_x,R1B_flex,-0.30992715435453705,0.0
L-H-TaG_r,R1B_flex,0.30935028432212547,0.0
L-F-TaG_z,L2A_flex,-0.3091736866734594,0.0
R-M-TaG_r,R3B_rot,-0.3085461599455203,0.0
R-H-TaG_r,L2A_rot,-0.30781028378897396,0.0
z_vel_ma5,L2B_flex,-0.3073367525288126,0.0
z_vel_ma10,L2B_flex,-0.30729437535074455,0.0
R-F-TaG_z,L2A_rot,0.30729297369813385,0.0
L-M-TaG_r,R1C_flex,0.306246015952602,0.0
R-F-TaG_z,L1B_flex,-0.30580728651589906,0.0
R-F-TaG_z,R1A_rot,-0.3051751048837211,0.0
R-H-TaG_x,L1B_flex,0.3042120585379147,0.0
L-H-TaG_x,L3C_flex,0.3019510185534992,0.0
R-M-TaG_y,R2A_flex,0.30179076823164513,0.0
L-H-TaG_z,L1A_abduct,-0.30132750300363187,0.0
z_vel_lag_minus_1,L2B_flex,-0.30066496473158894,0.0
R-F-Vel_z,R1C_flex,-0.300503469196057,0.0
y_vel_lag_minus_10,R2A_rot,0.30025324823899685,0.0
