Feature,Joint Angle,Correlation
y_vel_lag_plus_10,R2A_abduct,-0.38540446601823836
L-F-Vel_r,L1A_flex,-0.3846456080282452
y_vel_ma20,R1A_abduct,-0.3845934887358575
L-H-TaG_z,R2B_rot,-0.384125784916138
L-H-Vel_y,R1C_flex,-0.38392720969863764
y_vel_lag_plus_2,R2A_abduct,-0.3832957089119819
y_vel_lag_minus_3,L1A_abduct,-0.3832544717858339
y_vel_lag_minus_20,R2A_abduct,-0.383197980681334
R-H-TaG_y,L1B_flex,-0.38314394937137664
L-H-TaG_x,L3C_rot,0.38312156783485996
L-M-TaG_x,L1A_abduct,-0.38283758418012614
y_vel_lag_plus_2,L1A_abduct,-0.38277499838181545
R-H-TaG_z,R3D_flex,-0.382745484332188
R-H-TaG_y,L2A_abduct,0.38266548488158636
L-M-TaG_y,L1A_rot,0.3818715738044103
L-H-Vel_y,L2B_rot,-0.3812858462860158
y_vel_lag_plus_3,R2A_abduct,-0.381090979565118
R-F-Vel_r,R1A_flex,-0.38076676738792437
L-M-TaG_y,L3B_flex,0.3798700760871062
y_vel_lag_minus_10,R2A_abduct,-0.37938547818593565
y_vel_lag_plus_5,R2A_abduct,-0.37810111827824566
R-M-Vel_r,L3A_rot,0.3775558236211824
R-M-Vel_x,L3A_rot,0.3757665153788585
y_vel_lag_minus_10,R1A_abduct,-0.3757455673981122
L-H-Vel_r,L3B_flex,0.37524956048262453
z_vel_lag_plus_20,L2D_flex,0.3751892755707908
y_vel_lag_minus_3,L2C_flex,-0.3747777639651167
R-F-Vel_y,R3C_flex,0.37450295860787075
R-M-Vel_r,L3C_flex,0.37371205025088683
y_vel_lag_minus_5,L2C_flex,-0.373284144497149
L-F-Vel_z,R1A_rot,0.37314766857880594
L-H-TaG_z,L2C_rot,0.37288952675077974
R-F-TaG_z,R3D_flex,0.3722690224511469
L-F-Vel_r,R3C_flex,-0.3713703652393109
R-M-TaG_y,L1B_flex,0.37099694898277247
L-H-Vel_r,R1A_rot,0.3708908473722899
R-H-TaG_x,R3A_flex,0.370688075061516
R-M-TaG_y,R1A_abduct,0.3705522307573036
R-F-Vel_r,R3B_flex,0.3701800011122941
y_vel_lag_plus_3,L1A_abduct,-0.37012095341354323
R-M-TaG_z,R2D_flex,-0.37005409976363685
L-F-TaG_y,R1D_flex,-0.36971968139023154
R-F-TaG_z,L3A_rot,-0.36963087066354805
L-M-TaG_z,R2C_flex,-0.3696159426198148
x_vel_lag_minus_20,R1B_rot,-0.36898735495461765
y_vel_lag_minus_2,L2C_flex,-0.36858244133810303
z_vel_lag_plus_20,R2A_abduct,0.3680764909385931
R-M-Vel_y,R3D_flex,-0.3671646575766632
x_vel_ma20,L2D_flex,0.366864965028298
x_vel_ma10,L2D_flex,0.3668408560382333
x_vel_ma5,L2D_flex,0.36677422812572463
z_vel_ma20,R2A_abduct,0.3665826567447354
R-M-Vel_x,R2B_rot,0.3665024764683662
R-F-TaG_z,R2A_abduct,0.366406877135613
L-H-TaG_z,R1A_flex,-0.3661022743159089
x_vel_lag_minus_1,L2D_flex,0.3657759238401529
x_vel_lag_plus_1,L2D_flex,0.36500452541998285
R-F-Vel_r,L1B_flex,0.36483359715603453
R-F-Vel_y,L3D_flex,-0.36482440171055186
R-F-TaG_z,R1C_flex,-0.3645323743817065
L-H-TaG_z,L2D_flex,-0.3644778923492728
y_vel_lag_minus_20,R3A_flex,-0.3644477894814232
z_vel_lag_plus_10,R2A_abduct,0.3640912498701438
x_vel_ma20,R3C_rot,0.36402602368260234
R-H-TaG_y,L2C_rot,-0.3638742985187922
x_vel_lag_minus_2,L2D_flex,0.36381860832290397
x_vel_lag_plus_10,R1B_rot,-0.363600319391063
L-M-Vel_r,R1A_rot,-0.3635044026622724
R-M-TaG_y,R1A_flex,-0.363472176170219
L-M-Vel_y,L3D_flex,-0.36208108865880223
x_vel_lag_plus_2,L2D_flex,0.36204719690763476
z_vel_lag_minus_20,L2D_flex,0.3617292717707069
x_vel_lag_minus_3,L2D_flex,0.36161131874750874
L-H-Vel_r,R3B_flex,-0.36160630725652326
z_vel_lag_minus_20,R2A_abduct,0.36094712209538776
x_vel_lag_plus_3,R3C_rot,0.36066599379789216
R-F-Vel_r,L1C_flex,0.3603246077115562
L-H-TaG_x,L2A_rot,-0.3602707654276189
z_vel_lag_plus_5,R2A_abduct,0.36020901660353305
x_vel_lag_plus_2,R3C_rot,0.3601257445764765
L-F-Vel_r,L3A_rot,0.35999864125716186
z_vel_ma10,R2A_abduct,0.35948487399901863
R-F-Vel_z,R2B_rot,-0.35911840517631305
z_vel_lag_minus_10,R2A_flex,0.3590719495292761
z_vel_lag_minus_5,R2A_flex,0.3589225351980208
z_vel_ma20,R2A_flex,0.3587695342850994
x_vel_lag_plus_1,R3C_rot,0.3587636484019403
x_vel_lag_plus_5,R3C_rot,0.35868792558021995
z_vel_lag_plus_3,R2A_abduct,0.35859624406273705
x_vel_lag_plus_3,L2D_flex,0.35855644269376413
L-M-TaG_r,L2B_flex,-0.35828806333260915
x_vel_ma10,R3C_rot,0.3582323660872338
