Feature,Joint Angle,Correlation,P-value
L-F-TaG_y,L2B_rot,-0.4307519291154599,0.0
y_vel_ma10,L2A_abduct,-0.43071803016688415,0.0
L-F-TaG_r,L1A_abduct,-0.43057270049302765,0.0
L-F-Vel_r,R1A_rot,0.42952689516265197,0.0
R-F-TaG_x,R1C_rot,-0.42945223846328884,0.0
R-M-TaG_x,R2D_flex,0.4289366906155403,0.0
R-H-TaG_z,R2A_flex,-0.4281347678446799,0.0
R-M-TaG_y,L3A_rot,-0.42787270643317643,0.0
z_vel_lag_minus_10,L2C_flex,0.42781198127636005,0.0
L-H-TaG_y,R1A_rot,-0.42725890829587304,0.0
R-F-TaG_y,L1A_rot,0.4254857635910915,0.0
R-H-Vel_y,L1A_flex,-0.42496900172336705,0.0
xy_velocity,R1B_rot,-0.42419011521787336,0.0
R-F-Vel_r,L3C_flex,-0.4237011540390705,0.0
R-F-TaG_y,R1A_abduct,-0.4216670701618071,0.0
R-F-TaG_y,L1D_flex,-0.42071507241676886,0.0
L-M-TaG_x,L2A_abduct,-0.42021239451585746,0.0
R-M-Vel_r,R2A_rot,-0.41984780173228636,0.0
L-H-TaG_y,L1A_rot,-0.4189515528874769,0.0
R-H-TaG_z,R3A_rot,0.4180422919863208,0.0
velocity_magnitude,R1B_rot,-0.41721965678571993,0.0
R-M-Vel_r,R2B_rot,0.416827533337067,0.0
z_vel_ma20,L1A_abduct,0.4165275857412478,0.0
L-H-TaG_z,L3D_flex,-0.4164623642442931,0.0
L-F-TaG_z,L3C_rot,-0.41590092421382874,0.0
y_vel_ma5,L2A_abduct,-0.414752404399546,0.0
R-M-TaG_y,L2B_rot,-0.4147406849987527,0.0
L-M-TaG_y,R2B_rot,0.41445764211876723,0.0
L-F-TaG_y,L3A_rot,-0.41371309208182544,0.0
L-H-TaG_y,R3D_flex,0.4135526100841278,0.0
L-F-Vel_r,L3C_flex,0.41317192119795026,0.0
z_vel_lag_minus_20,L1A_abduct,0.41207987798062873,0.0
R-H-TaG_y,R2A_abduct,0.41206747929824505,0.0
z_vel_lag_minus_10,L1A_abduct,0.41160558946408543,0.0
R-F-TaG_z,R1A_abduct,0.4111611902264297,0.0
R-F-Vel_r,R1B_rot,-0.410704743231246,0.0
z_vel_ma20,L2D_flex,0.41035077285811306,0.0
y_vel_ma20,L1A_abduct,-0.4103005564179646,0.0
xz_velocity,R1B_rot,-0.410011938602447,0.0
y_vel_ma10,R2A_abduct,-0.40969532858472374,0.0
z_vel_ma10,L1A_abduct,0.40941782722717435,0.0
z_vel_lag_plus_20,R3A_flex,0.40941771370242,0.0
R-M-TaG_y,R3B_flex,0.40909700376618013,0.0
R-F-TaG_y,L1A_abduct,0.4090875899560539,0.0
z_vel_lag_plus_20,L2C_flex,0.40905233313956935,0.0
z_vel_lag_minus_5,L1A_abduct,0.40833555747214667,0.0
y_vel_lag_minus_1,L2A_abduct,-0.40826712766137147,0.0
L-M-TaG_y,L2A_rot,-0.4080831821518532,0.0
y_vel_lag_plus_20,L2A_abduct,-0.4080490894364357,0.0
y_vel_lag_minus_2,L2A_abduct,-0.40768815560437494,0.0
z_vel_lag_minus_3,L1A_abduct,0.4074630835152875,0.0
L-H-TaG_z,L3A_flex,-0.4073888340785588,0.0
y_vel_lag_plus_1,L2A_abduct,-0.4073693926741663,0.0
z_vel_lag_minus_2,L1A_abduct,0.40708729795029,0.0
z_vel_ma5,L1A_abduct,0.4070553844911786,0.0
R-F-Vel_r,R3C_flex,0.4070261108008914,0.0
z_vel_lag_minus_1,L1A_abduct,0.4067098106696896,0.0
x_vel_lag_plus_1,R1B_rot,-0.4066759582762964,0.0
x_vel_ma5,R1B_rot,-0.4065797622981787,0.0
R-H-Vel_y,R1A_rot,0.40650886663825664,0.0
y_vel_lag_minus_3,L2A_abduct,-0.40642976165687916,0.0
y_vel_lag_plus_2,L2A_abduct,-0.40616154625453627,0.0
z_vel_lag_plus_1,L1A_abduct,0.40558879551535504,0.0
y_vel_lag_plus_10,L2A_abduct,-0.4055791572222799,0.0
L-H-TaG_y,L3D_flex,-0.4052656357376132,0.0
y_vel_ma10,L1A_abduct,-0.40525286480909967,0.0
x_vel_ma10,R1B_rot,-0.40515819594197483,0.0
z_vel_ma10,L2D_flex,0.40500428167665103,0.0
z_vel_lag_plus_2,L1A_abduct,0.40482044473270895,0.0
y_vel_lag_plus_3,L2A_abduct,-0.40476320810173216,0.0
z_vel_ma20,L2A_abduct,0.4045586922038328,0.0
x_vel_lag_minus_1,R1B_rot,-0.4042918033938186,0.0
x_vel_lag_plus_2,R1B_rot,-0.40417149834343874,0.0
x_vel_ma20,R1B_rot,-0.4041152951618245,0.0
