,L1A_abduct,L1A_flex,L1A_rot,L1B_flex,L1B_rot,L1C_flex,L1C_rot,L1D_flex,L2A_abduct,L2A_flex,L2A_rot,L2B_flex,L2B_rot,L2C_flex,L2C_rot,L2D_flex,L3A_abduct,L3A_flex,L3A_rot,L3B_flex,L3B_rot,L3C_flex,L3C_rot,L3D_flex,R1A_abduct,R1A_flex,R1A_rot,R1B_flex,R1B_rot,R1C_flex,R1C_rot,R1D_flex,R2A_abduct,R2A_flex,R2A_rot,R2B_flex,R2B_rot,R2C_flex,R2C_rot,R2D_flex,R3A_abduct,R3A_flex,R3A_rot,R3B_flex,R3B_rot,R3C_flex,R3C_rot,R3D_flex
L-M-Vel_r,-0.01003508797238974,0.023148457164348338,0.023056180365687278,0.021582309725003013,-0.03044954430374541,0.028809304853936978,0.02595294540161129,0.03528756399803001,0.03191551793304697,-0.038346152336293626,0.0699240034880576,-0.12647800514865828,0.07258043418044247,-0.11252497431964215,-0.059188959077679196,-0.06499375178873978,-0.010287748845638068,-0.0296824541340051,0.021884110683233815,0.018083070827948123,-0.00617572840027181,0.0029132081769701404,0.017636460948907494,0.0024370007640696374,-0.017482328125993245,0.020042926061286572,0.025054581038430026,0.012182066340216447,1.0956697983080638e-05,0.010139519682093529,0.0078019938840281616,0.009636414028189894,-0.011468877145087873,0.0027617907629105816,0.036137709222377384,0.005542340085045461,-0.03863146308043302,0.02566277004600619,0.013784747735072933,0.008927423687003748,0.005881887210561063,0.009915829227157117,0.020180915625420702,-0.005968778640072423,-0.015078003380673484,0.010855754337356433,0.011989052782630346,0.0020224130066272654
L-H-Vel_r,-0.035251291803353506,0.03577985041864966,-0.016372122335141227,0.022867563529070385,-0.019221803847072106,0.014119196073100412,0.0016204002404424638,0.019404278734710186,-0.031026889697568203,0.039253559512908986,0.014320277441001852,-0.03125122978120201,-0.0008075180160379726,-0.03673481602181099,-0.010596234998603953,-0.024850028936892362,-0.02155679288050864,0.12145177157473992,-0.13063460188161674,-0.07334487558937978,0.08525806529917529,0.04163225935866105,-0.17178120671218128,0.09197048439656709,-0.03294699537392881,0.025973650715626347,0.027175329793082945,0.03224846995574495,0.020709875026403653,0.03433211500874462,-0.008544757474609971,0.025111928339913565,-0.020386703150280353,0.01197404769161022,0.07581824807622523,-0.013850450830925369,-0.07387505335636091,0.03614971002073361,0.051629072257965994,0.026517586052311772,-0.010682236939142662,-0.014040692783219013,-0.02530722036049522,0.004370757342728412,0.014362835403522923,-0.01746827680918241,-0.030756756720374884,-0.008455203764716153
x_vel_lag_plus_1,0.05500341656438169,0.06478260302046246,0.035038622906662154,-0.0390392542857324,0.10696640569233574,0.059248338328913616,0.04288785044765379,0.18672794524333533,0.02289608813655985,0.10583649299379365,-0.02122380072469311,-0.19782035139782694,0.186619551342922,-0.12909282097906918,-0.21691972409119728,0.010014552052609213,-0.07710353106746436,0.03982879063641083,-0.19827977890837659,-0.06582279606705725,-0.006115668423844792,-0.10198036851979823,-0.023463960547876916,-0.025726565716626314,-0.08448651505473172,0.21610918168305054,0.17726342934759787,0.01906633281085625,-0.14666758881177666,0.0964073779081192,0.13848993500849452,0.22620889897298582,0.1167891495393644,0.0843549968511632,0.04368061036767557,-0.02329135751235209,-0.02532553376994112,0.06306556632251427,-0.009139648355001393,0.13998911384814636,-0.05374387000257837,0.07573516877012419,-0.0150546155285705,0.04598155205264013,-0.0056999425132936744,0.061038736300649654,-0.023575812952809572,0.02839626304744274
x_pos_lag_plus_1,0.014058779448603806,-0.00019668810179141559,-0.07814773703525449,0.024542989317595198,-0.04828386344891973,0.11523975244859391,-0.011404355397738708,0.1269799716474672,-0.04301163235691542,0.0818602289224369,-0.12427271478761528,0.05957769311081316,0.04205541630594538,0.13166653179283044,-0.04725817536559439,0.18652532852262704,-0.05672264456039878,0.0196534193136909,0.13336596603607118,0.040773423398095934,0.020130041946531098,0.09004341003791547,-0.023594100657537285,0.09942994465622808,-0.010986153337913687,0.02917918296298794,0.0675672490735194,0.024567064880926026,0.052501636554050254,0.08765674456953525,0.009150703097456964,0.09032043386432075,-0.01813498134142983,0.025496492906137456,0.012035791903957408,-0.10161911054923985,-0.01258012705786079,-0.10855265431308019,-0.020033103542200788,-0.07635572069786158,-0.026034279979632733,0.14224896384502056,0.013569018483802429,-0.0015606998603220847,-0.048599664539311284,0.08851536584339134,0.05616502717677187,0.10061936536596985
x_vel_lag_minus_1,0.093397613451116,0.009975761942403735,0.05869424192841192,-0.09105165774352454,0.15259079427134892,0.012454074053543696,0.031149818323870076,0.14937071191372872,0.02182395660651573,0.09481676522227603,0.010524716563224916,-0.2262692189595637,0.17912325653610942,-0.15196014235339547,-0.20878682772314888,-0.002307877307018798,-0.08762304534990666,0.028596556272508896,-0.1794271249080979,-0.03299935777012776,0.000555728327627973,-0.06810456393346369,-0.019176593625511766,-0.006687614032974859,-0.045687306861583746,0.17008519638649866,0.14599702534747325,-0.025977692358063596,-0.1676780242719424,0.04126490856189791,0.131376410349345,0.18205550480715008,0.12572406159724428,0.06850580511881775,0.03804698956204041,0.0026995967620131733,-0.00480639699529356,0.07467033062900263,-0.029268473666907595,0.15254584595507048,-0.05258375098193305,0.11101818984769202,0.017254799765570657,0.04463456694914624,-0.034895728629547484,0.10794563885714668,0.00311783021655012,0.07150161798216056
x_pos_lag_minus_1,0.016103200670525765,-0.0028313041088300016,-0.07470630520422429,0.02305655227755921,-0.04895722522924818,0.11371771999737568,-0.009340575188771398,0.12567283438026616,-0.043013179517738906,0.07663849676786838,-0.11990988848923884,0.06463415116311924,0.03535162132733895,0.13507928396671545,-0.040132863394178715,0.1869898196443651,-0.05253258631175417,0.013600864272072442,0.13443977675794735,0.041497973529707015,0.01474907324835708,0.08743511756476212,-0.0195694111554503,0.09625293113087857,-0.009224763805381148,0.026949923085048805,0.06657950805263808,0.02295528388094185,0.05155424427773401,0.08677243188290032,0.006721843435185958,0.0895993863376912,-0.01870444181135812,0.027483242949164256,0.010548885051236053,-0.10404244482252856,-0.013171151402704978,-0.11325371159488136,-0.020755556838498914,-0.08173011095348078,-0.02385466623444422,0.14088567201477895,0.018229109575459448,-0.005537092170353402,-0.04526210710797243,0.08272073616641286,0.05624922865879216,0.0970898203829512
y_vel_lag_plus_1,-0.14360632071707033,0.18248325056052378,0.10973841778285279,0.17244836429960655,-0.13581829863348652,0.21306154961152413,0.21163544277329693,0.13223305500963564,0.05053080394711206,-0.0562304307397463,0.04008550916313062,-0.014702647696587853,0.012236574671869446,-0.03045073153629815,0.056019375947572024,-0.04960652174892898,0.02955768983993618,0.06126944874720198,0.026982884084099223,-0.053064452266933966,0.028434935124614445,-0.05846604527598961,0.04134818242920364,-0.0775220466372693,-0.10093565263666045,0.06596148890188888,0.0912458445337156,0.07630758365790959,0.01776851924069935,0.03299022060136785,0.11234884591967989,-0.023706421559957152,-0.07840956193499375,-0.02936934556313664,-0.013457921051853838,0.14186603244200463,0.04428144961701188,0.06523004969192801,-0.02695881801957738,-0.019862661979941274,0.04471714172101595,-0.2117316573568451,-0.19680743289338223,0.12160614770954065,-0.07246209026329907,0.009870069315259874,-0.1110408935914333,-0.12037948788371026
y_pos_lag_plus_1,-0.00038048615735844813,0.012396822832165455,0.04974537487778217,-0.0280035774701371,0.062104807521249084,-0.06426862776420388,0.002326772985113428,-0.06963829584733099,0.04363825745860178,-0.036211719394239686,0.07704200318989397,-0.08989349393818599,-0.001051569145847925,-0.10032160501837768,0.008758808866213713,-0.08239152565955032,0.011449831904516298,0.04111001516042447,-0.06149590259407946,0.026979319327481245,0.04019238068931143,0.023577416845950067,-0.04496435364178003,0.03009570648142757,-0.009105327280934751,0.021046653565029164,-0.020600206953527034,-0.023404539191340425,-0.052105086234778296,-0.06680378762568805,-0.01011093328053574,-0.0790190184445405,0.025313490902956624,-0.021794353367766264,0.016413508044462795,0.08382599966133297,0.0013602591050824217,0.1115784622905952,-0.006579113740463599,0.09364133812417018,0.027545762977853532,-0.041681799210686654,-0.022534222234298653,0.0428526911386891,-0.03138852581080917,0.0456882803863039,-0.003493949424789379,-0.021294569666508265
y_vel_lag_minus_1,-0.15381955822287122,0.1935109047271944,0.08571488259388436,0.19249315303752346,-0.16343945353976258,0.20666038804838116,0.19258114118170966,0.12819995999235695,0.041139861336425845,-0.043418175980722805,0.06662758990586494,-0.044222396276854474,0.011348861676222155,-0.06824556647948388,0.05029261322340309,-0.07420419606971627,0.018021417449847928,0.09091828348148678,0.0003079031051260819,-0.0706549948712122,0.04517324320026601,-0.07372701233223064,0.02828300533024835,-0.07763923940438625,-0.10885198877435111,0.07648315811073282,0.07635707908235685,0.09519839166962814,0.03977010167617497,0.05330523623842874,0.07557697936650568,-0.01218798775207992,-0.07523120958476555,-0.020538240229822237,0.04077727482894231,0.18231594000104928,0.012400427042705308,0.13494842696693649,-0.021292736881982646,0.01836392905076188,0.033978725938486436,-0.1843329540622562,-0.16007140117092275,0.09933521335573192,-0.06092161375211438,0.010924907210184505,-0.09088473327796286,-0.11224754456033986
y_pos_lag_minus_1,0.0017589199531597784,0.007862284943386496,0.045609969793787675,-0.03186651197521154,0.06580515390495772,-0.07093455070215562,-0.004653164647092804,-0.07489147446400313,0.04213590961472353,-0.033665143220603475,0.07529945627774413,-0.09075864667744551,2.0972743083989457e-05,-0.10148237229455649,0.006364048045054529,-0.08258068000745908,0.010001258595840426,0.042026754085177385,-0.062169458020757136,0.02802930134104734,0.04216325202500882,0.02719067092604112,-0.04738990863685611,0.03244209051177708,-0.00787753142259865,0.01952029541670832,-0.022109100394929818,-0.023923550311925352,-0.051410766028365605,-0.06733430884488911,-0.011692998977979957,-0.07893107593780893,0.0256920125669468,-0.021163096840501164,0.018567039681112608,0.08254144424724673,-0.00020836567992805723,0.11267892968688105,-0.005565048071856538,0.09684188396944163,0.026406034956541174,-0.03541005301257943,-0.01823603348822283,0.040236706583392824,-0.03214778495407202,0.047909582504959025,0.0008155474022050736,-0.017369505560226844
z_vel_lag_plus_1,0.03922062149310076,-0.04527378535131409,0.06184689405548125,-0.04140377163433046,-0.06648935109266127,-0.0692284164248218,-0.013941335105481876,-0.0659031561067301,0.059028007683466506,-0.20581399461216435,0.10021663791509436,0.0004752991659861091,-0.18602444094368853,-0.05279804865509618,0.07970001514876081,-0.04889322130773668,0.0405430215957859,-0.03712275588669151,0.13784169329297047,0.10674467512907414,0.03807792472705289,0.12891636124229233,-0.1360568639567976,0.11205541919794114,0.03493973879716381,-0.047863719221216856,0.013959829968979664,-0.0005646485632994021,0.05105848879486436,0.018568420648897074,-0.04753145912469649,-0.08469049087662738,-0.017714288566236268,-0.07047637929332516,0.04620401268768901,-0.03190033252634249,-0.08495771135519577,0.0044249731077523535,0.0781925976039188,-0.03739785424616228,-0.0014361460836209603,-0.02092547026757838,0.007239364921399109,-0.053486088294973526,0.005155483895765043,-0.022498221152402836,0.04698228087373018,-0.036673087858241436
z_pos_lag_plus_1,0.013245319556751619,-0.024150672605057138,0.09578901330875474,-0.05339264129970896,0.07007164941995393,-0.13056296074647603,0.016355024494696706,-0.124590874337673,0.04584931248956684,-0.09098236171713568,0.14686830258406663,-0.07912172603697215,-0.05396384948455453,-0.1467918140808606,0.05389201814414578,-0.19408595622752023,0.04981634718922548,-0.031365354419129396,-0.13530227103466339,-0.03238303710458891,-0.031534203377047466,-0.08740524705653242,0.023548127988817055,-0.09366904637745298,0.025991653430156317,-0.040236958654679765,-0.06790514561358274,-0.05363805076003421,-0.07729017992298357,-0.10997337042025156,0.0038059107144421725,-0.09288522100455483,0.025158913357149586,-0.013329299396804923,-0.017464699202839103,0.07660727419494859,0.006383123527080023,0.0843265423596995,0.030394436714451228,0.06891549496058526,0.027284892845290145,-0.13488488120093203,-0.0036933021047743345,-0.005767435869464407,0.05362143900110171,-0.08674302130848889,-0.04488805536405626,-0.09632843212066776
z_vel_lag_minus_1,0.05159034685398308,-0.052090932344186665,0.11820352074452072,-0.048342230960743825,-0.05901987872876699,-0.05573385454318762,0.04330219969690551,-0.06353639349543437,0.06015298803285371,-0.23419574832403658,0.14300804442915552,0.002658229794896978,-0.228985591417579,-0.04738604009850029,0.126436871735895,-0.053887536159829136,0.031674404855975676,-0.07380513860900206,0.17288082125021006,0.11421090189952232,-0.002522986636081555,0.11954646473688543,-0.0848981026749877,0.10396120517401118,0.0399943061431473,-0.05227858129267159,0.03301052219383562,-0.027286561926053596,0.02006447297342359,-0.003342980016309429,-0.0013241047737622966,-0.08912839077522523,-0.024044175519010245,-0.054767744822070086,0.049618358327524606,-0.049976099840209,-0.10268099077100248,-0.003628028229538059,0.10771716623068876,-0.03274975543349261,7.931356301512179e-05,0.008508335823808697,0.04856407284688511,-0.07786281762150686,0.010352494182677814,-0.021875570855738838,0.08413968171998686,-0.027070060594056745
z_pos_lag_minus_1,0.011575519238892164,-0.022452709732723303,0.09151674531106813,-0.052346225839685664,0.0712135115976114,-0.12959186037993273,0.01322684364528663,-0.12424284966756226,0.045915740225201215,-0.08552160160712077,0.14210885294270087,-0.08313952528359964,-0.04774768112886548,-0.1487841590487178,0.047768896897335864,-0.19416265712617134,0.04543272839941484,-0.025391062686285788,-0.13597051516000458,-0.03300627299136514,-0.026154389943041034,-0.08449162750363666,0.02008834451794334,-0.09027700787915807,0.02573029817222273,-0.03999667632412562,-0.06895896645659598,-0.05325825906421964,-0.0759472517351458,-0.11082122575177145,0.005233088512248422,-0.0939284110726771,0.025827816641424202,-0.015701701299044125,-0.017246768335787425,0.0790319600514596,0.00802601181871925,0.08821963806687652,0.030452370345698,0.0735795899213646,0.025005141960460033,-0.13383732704131046,-0.008740627772046079,-0.0015023456115366076,0.050317723741259306,-0.08136468613957307,-0.04502608589238627,-0.09271219574647295
x_vel_lag_plus_2,0.038829155158355166,0.08805181637341122,0.026578645978930303,-0.019717480217924882,0.09263664682363358,0.07943566542432653,0.047635375034022424,0.20066130336478374,0.023966277974786544,0.10917510564701088,-0.03460961451365286,-0.18244008412609067,0.1867805318324361,-0.11523297793206605,-0.21729152062303206,0.01546666308671549,-0.07067508963158264,0.044196143053794844,-0.20630984664636687,-0.07875982587174116,-0.008017706742861331,-0.11581722455049089,-0.025043460374289294,-0.03254957379590084,-0.09982259287375977,0.23414323991966932,0.1897655920199586,0.03391076567358493,-0.14390455630582688,0.11789437028965219,0.13997955912028662,0.24299752814504014,0.11262407829173758,0.09068222490599268,0.042181070587980665,-0.03615531187563776,-0.03173869477244761,0.05455371705079031,-0.0012681371046370216,0.13272171596249296,-0.053908947186175185,0.05851239260387572,-0.031635225674445745,0.04990190606007532,0.004354047044959624,0.03955442250473177,-0.035419385199438325,0.008943710982494104
x_pos_lag_plus_2,0.013477963367952477,0.0006567476062196586,-0.07793532771489721,0.0248174064416915,-0.048063082930446886,0.11529675935240817,-0.011102743366137787,0.1274792587793279,-0.0425857008517385,0.08207425605631481,-0.12407405210049001,0.05839651635483301,0.043044514391526824,0.13019184575977677,-0.048507438114621916,0.18523420743821037,-0.05684313809065259,0.020032517671828096,0.13243079563258317,0.04058832970876238,0.020575740496634534,0.09000755612757565,-0.024070672719796474,0.09934997115621613,-0.011784440040239824,0.030166282724804278,0.06806150295566996,0.02471453123269732,0.05180885445508159,0.08766964489573657,0.009784073016675231,0.09048408299922224,-0.01824049822903002,0.02533330371399885,0.01212221176513856,-0.1009400956900375,-0.012612361845622958,-0.10745200790236889,-0.019954254304207043,-0.07544810474548994,-0.026205441878462313,0.14148065602630663,0.01319513067375284,-0.0011761283743543178,-0.048795973016853775,0.08914354862084153,0.056225851952661624,0.10071449874670041
x_vel_lag_minus_2,0.11245355755841979,-0.01667814034909083,0.07184705742433664,-0.1185135684180118,0.17851000145068985,-0.009893497866672069,0.026170110426813286,0.12915561332383962,0.021778703189112472,0.08808040127226338,0.0268581670398857,-0.23750867402334164,0.17208327573865187,-0.15953257450252534,-0.20148173384187137,-0.008409855380671473,-0.0915581904826122,0.02306820566586727,-0.17032779750423915,-0.014826754148391045,0.005687615139844205,-0.04953744678623323,-0.017569101076815596,0.005003266195067354,-0.025015065819817373,0.14540466027077353,0.12990231725552118,-0.05279458022998616,-0.18378733116917015,0.011250501524729718,0.12630605525452612,0.15747832435252893,0.12990459644880692,0.05986898742521662,0.030659213382747366,0.013480632430135156,0.008047903174546423,0.07648700024406052,-0.04073614014627067,0.15647055529793186,-0.05177538052988288,0.12687337915706362,0.03073956104375895,0.046955499786073496,-0.05153823643440077,0.13044075519973525,0.01591818365808113,0.0924464711836981
x_pos_lag_minus_2,0.017536956351245515,-0.0045323123435329245,-0.07094814660586597,0.02191297262074078,-0.04952064773780598,0.1124518301097303,-0.006749592486156103,0.12493767729295081,-0.04257395631558134,0.0717664394686717,-0.11539618972077272,0.06853874035766438,0.02964557532618091,0.1370285537296653,-0.03421822977111255,0.1863490744893809,-0.048538876421303306,0.008047295932318933,0.13439405790923728,0.04192637457842061,0.009863946030264267,0.084751235772248,-0.015956394567760677,0.09293119229497601,-0.008218941516779361,0.025636950756760545,0.06619181163610768,0.02163038236584751,0.05007798037603105,0.08589080370990218,0.004718816741418608,0.08922051549220772,-0.01928944203758824,0.029203533886301855,0.009343340412511761,-0.10576173571054223,-0.013903262699698505,-0.11683106852187268,-0.02139441899749904,-0.08626130866645983,-0.021605624429148533,0.13881928906051874,0.022345741002831307,-0.009441481000784843,-0.04194664742988379,0.07767549203053056,0.05623449759576518,0.09389612022914606
